物品ID,物品名称,全区挂售价,全区挂售价标准差,本服成交价,本服成交价标准差,本服成交价波动,本服挂售价,本服挂售价标准差,本服挂售价与成交价差值,利润率,单价差,本服近一个月成交次数,本服近一个月成交数量
2NQ,火之碎晶NQ,41.5,1.6583123951777,42.6,0.4898979485566356,0.011499951844052479,44.25,0.4330127018922193,1.6499999999999986,0.026506024096385472,1.1000000000000014,415,849876
3NQ,冰之碎晶NQ,42.0,0.0,41.4,0.4898979485566356,0.011833283781561246,45.25,0.82915619758885,3.8500000000000014,-0.014285714285714346,-0.6000000000000014,252,493828
4NQ,风之碎晶NQ,42.0,0.0,44.8,0.4,0.00892857142857143,48.0,0.0,3.200000000000003,0.06666666666666665,2.799999999999997,335,681784
5NQ,土之碎晶NQ,29.0,1.224744871391589,47.8,10.628264204469138,0.22234862352445897,47.5,0.5,-0.29999999999999716,0.6482758620689655,18.799999999999997,178,500417
6NQ,雷之碎晶NQ,49.5,0.8660254037844386,56.6,2.5768197453450252,0.04552685062447041,59.75,1.7853571071357126,3.1499999999999986,0.14343434343434347,7.100000000000001,335,547141
7NQ,水之碎晶NQ,56.5,0.5,67.6,1.3564659966250534,0.020066065038832154,66.5,0.5,-1.0999999999999943,0.19646017699115026,11.099999999999994,362,722432
8NQ,火之水晶NQ,39.25,1.299038105676658,38.2,3.6,0.09424083769633507,41.0,0.0,2.799999999999997,-0.02675159235668778,-1.0499999999999972,1174,1777769
9NQ,冰之水晶NQ,45.5,0.8660254037844386,55.4,5.986651818838306,0.10806230719924739,52.5,0.5,-2.8999999999999986,0.21758241758241748,9.899999999999999,354,853985
10NQ,风之水晶NQ,40.25,0.4330127018922193,47.6,2.8,0.0588235294117647,45.0,0.0,-2.6000000000000014,0.18260869565217397,7.350000000000001,1276,2328009
11NQ,土之水晶NQ,14.0,1.224744871391589,39.4,10.461357464497617,0.2655166869161832,32.5,8.5,-6.899999999999999,1.814285714285714,25.4,317,1181018
12NQ,雷之水晶NQ,32.0,0.0,31.2,1.9390719429665317,0.06214974176174781,33.75,0.4330127018922193,2.5500000000000007,-0.025000000000000022,-0.8000000000000007,1686,4294840
13NQ,水之水晶NQ,35.0,0.0,31.6,0.7999999999999999,0.025316455696202528,35.5,0.5,3.8999999999999986,-0.09714285714285709,-3.3999999999999986,1800,3550794
14NQ,火之晶簇NQ,69.0,0.0,78.2,13.526270735128733,0.17297021400420373,113.25,39.04084399702445,35.05,0.1333333333333333,9.200000000000003,193,605777
15NQ,冰之晶簇NQ,30.25,0.4330127018922193,39.8,2.9257477676655586,0.07351125044385826,39.5,0.8660254037844386,-0.29999999999999716,0.315702479338843,9.549999999999997,134,477362
16NQ,风之晶簇NQ,91.5,8.5,97.4,5.642694391866353,0.057933207308689456,107.25,0.4330127018922193,9.849999999999994,0.06448087431694005,5.900000000000006,234,639450
17NQ,土之晶簇NQ,6.0,0.0,23.8,4.445222154178573,0.1867740400915367,18.75,4.085033659592048,-5.050000000000001,2.966666666666667,17.8,132,524611
